X	Y	Red	Green	Blue
755	889	137	160	69
756	889	135	158	67
757	889	138	161	70
758	889	138	163	71
759	889	133	158	66
760	889	133	158	66
761	889	135	160	68
762	889	137	162	70
763	889	136	161	69
764	889	134	159	67
765	889	134	159	67
766	889	136	161	69
767	889	136	161	69
768	889	136	161	69
769	889	137	162	70
770	889	138	163	72
771	889	137	162	71
772	889	136	161	69
773	889	137	162	70
774	889	137	162	68
775	889	137	162	68
776	889	136	161	67
777	889	137	162	68
778	889	139	164	72
779	889	137	162	70
780	889	137	160	69
781	889	135	158	67
782	889	135	156	65
783	889	136	157	66
784	889	134	157	67
785	889	133	156	66
786	889	135	160	69
787	889	135	160	69
788	889	136	161	69
789	889	135	160	68
790	889	134	159	67
791	889	132	157	65
792	889	134	157	66
793	889	135	158	67
794	889	139	162	72
795	889	138	161	71
796	889	139	162	71
797	889	140	163	72
798	889	137	160	69
799	889	136	159	68
800	889	132	155	64
801	889	130	153	62
802	889	131	154	63
803	889	133	156	65
804	889	136	160	66
805	889	138	162	68
806	889	138	163	71
807	889	139	164	72
808	889	137	164	71
809	889	135	162	69
810	889	137	163	72
811	889	137	163	72
812	889	137	163	72
813	889	138	164	73
814	889	137	162	71
815	889	137	162	71
816	889	138	161	71
817	889	139	162	72
818	889	137	162	71
819	889	137	162	71
820	889	136	161	69
821	889	136	161	69
822	889	142	165	75
823	889	138	161	71
824	889	135	158	68
825	889	137	160	70
826	889	136	160	72
827	889	136	160	72
828	889	140	163	73
829	889	141	164	74
830	889	144	168	74
831	889	141	165	71
832	889	133	156	65
833	889	136	159	68
834	889	138	162	68
835	889	134	158	64
836	889	133	159	62
837	889	134	160	63
838	889	136	160	66
839	889	136	160	66
840	889	135	158	67
841	889	138	161	70
842	889	139	164	72
843	889	142	167	75
844	889	140	165	73
845	889	132	157	65
846	889	132	155	64
847	889	135	158	67
848	889	135	160	66
849	889	136	161	67
850	889	136	161	67
851	889	135	160	66
852	889	135	159	63
853	889	137	161	65
854	889	138	162	68
855	889	139	162	71
856	889	133	158	66
857	889	129	154	63
858	889	130	155	64
859	889	133	158	67
860	889	136	163	70
861	889	136	163	70
862	889	137	164	71
863	889	139	164	72
864	889	136	161	69
865	889	136	159	68
866	889	139	162	71
867	889	140	163	72
868	889	145	168	77
869	889	144	167	76
870	889	141	164	74
871	889	141	164	74
872	889	140	164	76
873	889	138	162	74
874	889	139	163	75
875	889	136	160	72
876	889	137	161	73
877	889	139	163	75
878	889	138	163	72
755	890	137	161	67
756	890	136	160	66
757	890	136	160	66
758	890	137	162	70
759	890	134	159	67
760	890	134	159	67
761	890	136	161	69
762	890	138	163	72
763	890	136	161	70
764	890	133	158	67
765	890	133	158	67
766	890	136	161	70
767	890	137	162	71
768	890	137	162	70
769	890	136	161	69
770	890	138	163	72
771	890	139	164	73
772	890	138	161	71
773	890	136	159	69
774	890	137	160	69
775	890	137	160	69
776	890	137	162	70
777	890	137	162	70
778	890	138	163	71
779	890	133	158	66
780	890	134	157	67
781	890	136	159	69
782	890	135	158	67
783	890	132	155	64
784	890	131	154	64
785	890	133	156	66
786	890	137	162	71
787	890	137	162	71
788	890	137	162	70
789	890	135	160	68
790	890	135	160	68
791	890	135	160	68
792	890	136	159	68
793	890	134	157	66
794	890	135	158	67
795	890	135	158	67
796	890	136	159	68
797	890	138	161	70
798	890	134	159	67
799	890	132	157	65
800	890	132	155	64
801	890	132	155	64
802	890	134	158	64
803	890	134	158	64
804	890	134	158	64
805	890	136	160	66
806	890	139	163	69
807	890	140	164	70
808	890	137	162	70
809	890	136	161	69
810	890	135	162	69
811	890	135	162	69
812	890	137	163	72
813	890	138	164	73
814	890	137	162	71
815	890	137	162	71
816	890	139	162	72
817	890	141	164	74
818	890	137	160	70
819	890	136	159	69
820	890	139	162	71
821	890	141	164	73
822	890	141	166	75
823	890	140	165	74
824	890	137	161	73
825	890	136	160	72
826	890	135	159	71
827	890	135	159	71
828	890	136	159	69
829	890	138	161	71
830	890	140	164	70
831	890	140	164	70
832	890	137	160	69
833	890	137	160	69
834	890	137	160	69
835	890	134	157	66
836	890	136	160	66
837	890	137	161	67
838	890	134	158	62
839	890	132	156	60
840	890	137	158	65
841	890	140	161	68
842	890	139	164	72
843	890	143	168	76
844	890	141	166	74
845	890	137	160	69
846	890	134	158	64
847	890	137	158	65
848	890	135	161	64
849	890	135	161	64
850	890	135	159	63
851	890	134	158	62
852	890	136	160	64
853	890	139	163	67
854	890	140	164	70
855	890	142	165	74
856	890	140	163	72
857	890	134	157	67
858	890	133	158	67
859	890	134	159	68
860	890	137	162	68
861	890	137	162	68
862	890	137	162	68
863	890	136	161	67
864	890	138	162	68
865	890	137	161	67
866	890	137	161	67
867	890	139	163	69
868	890	144	167	76
869	890	141	164	73
870	890	137	162	71
871	890	137	162	71
872	890	142	166	78
873	890	139	163	75
874	890	138	164	75
875	890	136	162	73
876	890	135	161	70
877	890	137	163	72
878	890	140	165	74
755	891	136	160	66
756	891	133	157	63
757	891	135	159	65
758	891	136	161	69
759	891	134	159	67
760	891	134	159	67
761	891	134	159	67
762	891	136	161	70
763	891	137	162	71
764	891	136	161	70
765	891	134	159	68
766	891	134	159	68
767	891	136	161	70
768	891	137	162	70
769	891	134	159	67
770	891	135	160	69
771	891	135	160	69
772	891	132	155	65
773	891	130	153	63
774	891	137	160	69
775	891	139	162	71
776	891	139	162	71
777	891	138	161	70
778	891	137	160	70
779	891	131	154	64
780	891	132	155	65
781	891	136	159	69
782	891	136	159	69
783	891	130	153	63
784	891	130	153	63
785	891	135	158	68
786	891	138	161	70
787	891	136	159	68
788	891	136	161	69
789	891	136	161	69
790	891	138	161	70
791	891	139	162	71
792	891	138	161	70
793	891	135	158	67
794	891	135	158	67
795	891	134	157	66
796	891	134	159	67
797	891	135	160	68
798	891	134	159	67
799	891	134	159	67
800	891	138	162	68
801	891	136	160	66
802	891	135	159	65
803	891	136	160	66
804	891	136	157	64
805	891	135	156	63
806	891	139	160	67
807	891	140	161	68
808	891	136	160	66
809	891	136	160	66
810	891	136	159	68
811	891	136	159	68
812	891	138	163	71
813	891	138	163	71
814	891	136	161	69
815	891	136	161	69
816	891	139	162	72
817	891	141	164	74
818	891	139	162	71
819	891	135	158	67
820	891	137	160	69
821	891	138	161	70
822	891	136	162	71
823	891	138	164	73
824	891	137	163	74
825	891	136	160	72
826	891	136	160	72
827	891	137	160	72
828	891	135	158	68
829	891	135	158	68
830	891	134	158	64
831	891	138	162	68
832	891	139	163	69
833	891	136	160	66
834	891	138	159	68
835	891	136	157	66
836	891	135	156	63
837	891	137	158	65
838	891	137	158	63
839	891	140	161	66
840	891	137	158	65
841	891	132	153	60
842	891	134	159	67
843	891	141	166	74
844	891	142	166	72
845	891	144	165	72
846	891	139	160	65
847	891	138	158	63
848	891	136	160	64
849	891	137	161	65
850	891	138	159	66
851	891	140	161	68
852	891	143	164	69
853	891	140	161	66
854	891	140	161	68
855	891	143	164	73
856	891	139	162	71
857	891	135	158	68
858	891	136	159	69
859	891	136	159	69
860	891	137	161	67
861	891	139	163	69
862	891	140	164	70
863	891	136	160	66
864	891	138	162	68
865	891	139	163	69
866	891	137	161	67
867	891	138	162	68
868	891	141	166	74
869	891	138	163	71
870	891	138	163	72
871	891	140	165	74
872	891	139	165	74
873	891	136	162	71
874	891	138	164	75
875	891	140	166	77
876	891	137	163	72
877	891	137	163	72
878	891	139	164	73
755	892	135	159	65
756	892	132	156	62
757	892	135	159	65
758	892	137	161	67
759	892	136	160	66
760	892	134	159	67
761	892	136	161	69
762	892	136	161	69
763	892	133	158	66
764	892	135	160	69
765	892	138	163	72
766	892	138	163	72
767	892	137	162	71
768	892	137	162	70
769	892	137	162	70
770	892	137	162	71
771	892	136	161	70
772	892	134	157	67
773	892	133	156	66
774	892	138	161	70
775	892	137	160	69
776	892	138	161	70
777	892	138	161	70
778	892	136	161	70
779	892	133	158	67
780	892	136	159	69
781	892	136	159	69
782	892	133	156	66
783	892	131	154	64
784	892	133	156	65
785	892	136	159	68
786	892	136	159	68
787	892	133	156	65
788	892	135	158	67
789	892	137	160	69
790	892	138	162	68
791	892	136	160	66
792	892	136	160	66
793	892	137	161	67
794	892	138	162	68
795	892	136	160	66
796	892	134	159	65
797	892	136	161	67
798	892	138	163	69
799	892	139	164	70
800	892	142	166	72
801	892	139	163	69
802	892	136	160	66
803	892	136	160	66
804	892	138	159	64
805	892	137	158	63
806	892	139	160	65
807	892	142	163	68
808	892	139	160	67
809	892	138	159	66
810	892	135	159	65
811	892	136	160	66
812	892	138	161	70
813	892	139	162	71
814	892	139	162	71
815	892	139	162	71
816	892	137	160	69
817	892	138	161	70
818	892	138	161	70
819	892	138	161	70
820	892	136	159	68
821	892	136	159	68
822	892	136	162	71
823	892	134	160	69
824	892	136	162	73
825	892	138	164	75
826	892	139	163	75
827	892	139	163	75
828	892	138	161	71
829	892	137	160	70
830	892	136	160	66
831	892	137	161	67
832	892	140	164	70
833	892	138	162	68
834	892	139	160	69
835	892	137	158	67
836	892	138	159	68
837	892	140	161	70
838	892	141	162	69
839	892	140	161	68
840	892	138	159	66
841	892	136	157	64
842	892	137	162	70
843	892	139	164	72
844	892	137	162	68
845	892	142	166	72
846	892	144	165	70
847	892	141	161	66
848	892	139	163	69
849	892	138	162	68
850	892	136	157	64
851	892	141	162	69
852	892	144	166	68
853	892	138	160	62
854	892	138	160	62
855	892	141	162	67
856	892	138	162	66
857	892	135	159	65
858	892	138	161	70
859	892	136	159	68
860	892	135	159	65
861	892	137	161	67
862	892	141	162	69
863	892	139	160	67
864	892	137	161	67
865	892	139	163	69
866	892	138	162	68
867	892	136	160	66
868	892	137	162	68
869	892	138	163	69
870	892	141	166	74
871	892	141	166	74
872	892	136	162	71
873	892	136	162	71
874	892	139	165	76
875	892	140	166	77
876	892	140	166	75
877	892	140	166	75
878	892	136	161	70
755	893	136	160	66
756	893	135	159	65
757	893	135	159	65
758	893	135	159	65
