X	Y	Red	Green	Blue
1679	679	84	137	83
1680	679	82	137	80
1681	679	81	136	79
1682	679	82	137	82
1683	679	82	137	82
1684	679	84	138	86
1685	679	85	139	87
1686	679	84	141	88
1687	679	83	140	87
1688	679	84	141	86
1689	679	78	135	80
1690	679	81	140	84
1691	679	82	141	85
1692	679	81	139	81
1693	679	81	139	81
1694	679	85	140	85
1695	679	86	141	86
1696	679	84	143	85
1697	679	83	141	83
1698	679	85	142	87
1699	679	87	142	87
1700	679	84	141	86
1701	679	85	142	87
1702	679	92	147	90
1703	679	87	142	85
1704	679	82	139	84
1705	679	80	137	82
1706	679	78	137	79
1707	679	79	137	79
1708	679	81	138	83
1709	679	84	139	84
1710	679	86	140	88
1711	679	86	140	88
1712	679	91	145	93
1713	679	94	148	96
1714	679	91	148	93
1715	679	88	145	90
1716	679	86	143	88
1717	679	84	141	86
1718	679	83	140	87
1719	679	84	141	88
1720	679	83	142	88
1721	679	85	144	90
1722	679	91	150	94
1723	679	85	144	88
1724	679	84	143	87
1725	679	86	145	89
1726	679	84	143	87
1727	679	82	141	85
1728	679	83	140	85
1729	679	85	142	87
1730	679	85	140	85
1731	679	81	136	81
1732	679	85	138	86
1733	679	89	142	90
1734	679	87	142	87
1735	679	85	140	85
1736	679	83	140	85
1737	679	82	139	84
1738	679	85	140	85
1739	679	84	139	84
1740	679	85	140	85
1741	679	87	142	87
1742	679	84	138	86
1743	679	81	135	83
1744	679	85	142	87
1745	679	86	143	88
1746	679	83	140	85
1747	679	74	131	76
1748	679	86	141	86
1749	679	86	141	86
1750	679	85	138	84
1751	679	84	137	83
1752	679	85	138	84
1753	679	86	139	85
1754	679	83	140	87
1755	679	82	139	86
1756	679	82	139	86
1757	679	84	141	88
1758	679	87	141	89
1759	679	89	143	91
1760	679	90	144	92
1761	679	88	142	92
1762	679	72	126	76
1763	679	83	137	88
1764	679	94	148	98
1765	679	85	139	89
1766	679	85	142	87
1767	679	86	143	88
1768	679	83	142	84
1769	679	88	147	91
1770	679	88	147	91
1771	679	84	143	89
1772	679	83	141	90
1773	679	79	137	86
1774	679	81	138	83
1775	679	87	142	87
1776	679	84	139	82
1777	679	81	134	80
1778	679	84	139	84
1779	679	87	141	89
1780	679	86	143	90
1781	679	82	139	86
1782	679	80	134	82
1783	679	85	139	87
1784	679	85	142	87
1785	679	83	140	85
1786	679	84	143	85
1787	679	84	143	85
1788	679	86	145	87
1789	679	87	146	88
1790	679	89	146	91
1791	679	87	142	87
1792	679	86	141	86
1793	679	88	141	87
1794	679	88	143	88
1795	679	87	142	87
1796	679	84	139	84
1797	679	83	138	83
1798	679	85	140	83
1799	679	87	142	85
1800	679	84	142	83
1801	679	85	143	84
1802	679	84	143	85
1803	679	84	143	87
1804	679	86	143	88
1805	679	86	143	90
1806	679	82	139	86
1807	679	79	136	83
1808	679	86	143	90
1809	679	87	144	91
1810	679	87	142	85
1811	679	86	141	84
1812	679	90	144	86
1813	679	93	147	89
1814	679	94	149	91
1815	679	89	144	86
1816	679	88	143	86
1817	679	86	141	84
1818	679	92	145	91
1819	679	90	143	89
1820	679	91	144	90
1679	680	86	141	86
1680	680	86	139	85
1681	680	77	127	74
1682	680	77	130	74
1683	680	86	139	83
1684	680	83	141	83
1685	680	82	139	84
1686	680	83	140	85
1687	680	87	141	89
1688	680	86	140	88
1689	680	82	135	83
1690	680	86	141	86
1691	680	84	139	84
1692	680	83	140	85
1693	680	83	140	85
1694	680	85	140	85
1695	680	85	140	85
1696	680	87	140	88
1697	680	85	138	86
1698	680	87	142	85
1699	680	86	141	84
1700	680	84	143	85
1701	680	84	143	85
1702	680	90	149	93
1703	680	85	144	88
1704	680	82	139	84
1705	680	81	138	83
1706	680	80	139	81
1707	680	77	136	78
1708	680	76	134	76
1709	680	78	133	78
1710	680	81	136	81
1711	680	88	141	89
1712	680	93	148	93
1713	680	90	145	90
1714	680	88	146	88
1715	680	87	145	87
1716	680	87	144	89
1717	680	85	142	87
1718	680	83	142	88
1719	680	81	140	86
1720	680	84	144	90
1721	680	82	142	88
1722	680	85	146	89
1723	680	85	146	89
1724	680	85	146	87
1725	680	85	146	87
1726	680	84	145	86
1727	680	78	137	79
1728	680	78	135	80
1729	680	85	140	85
1730	680	87	142	87
1731	680	84	139	84
1732	680	87	142	87
1733	680	93	148	93
1734	680	91	146	91
1735	680	85	140	85
1736	680	83	138	83
1737	680	80	135	80
1738	680	83	138	83
1739	680	84	139	84
1740	680	85	142	87
1741	680	84	141	86
1742	680	79	136	83
1743	680	77	134	81
1744	680	85	142	87
1745	680	84	141	86
1746	680	83	140	85
1747	680	75	132	77
1748	680	86	143	88
1749	680	91	148	93
1750	680	84	141	88
1751	680	84	141	88
1752	680	88	142	90
1753	680	83	137	85
1754	680	83	137	85
1755	680	81	135	83
1756	680	87	140	88
1757	680	87	140	88
1758	680	87	140	88
1759	680	90	143	91
1760	680	87	142	87
1761	680	85	139	87
1762	680	78	132	80
1763	680	87	141	91
1764	680	91	148	97
1765	680	83	140	89
1766	680	84	139	84
1767	680	86	141	86
1768	680	86	144	86
1769	680	87	144	89
1770	680	90	151	94
1771	680	86	146	92
1772	680	84	142	91
1773	680	77	135	84
1774	680	80	137	82
1775	680	86	141	86
1776	680	87	142	87
1777	680	85	138	84
1778	680	86	140	88
1779	680	86	140	88
1780	680	83	140	87
1781	680	78	135	82
1782	680	79	136	81
1783	680	85	142	87
1784	680	88	145	90
1785	680	84	141	86
1786	680	84	143	89
1787	680	85	144	90
1788	680	86	145	89
1789	680	85	144	88
1790	680	84	142	84
1791	680	85	143	85
1792	680	88	143	88
1793	680	85	140	85
1794	680	91	146	91
1795	680	93	148	93
1796	680	89	144	87
1797	680	87	142	85
1798	680	86	141	84
1799	680	87	142	85
1800	680	86	143	88
1801	680	84	141	86
1802	680	88	143	88
1803	680	88	143	88
1804	680	88	143	86
1805	680	88	143	86
1806	680	87	142	85
1807	680	85	140	83
1808	680	85	143	85
1809	680	85	143	85
1810	680	89	144	87
1811	680	87	142	85
1812	680	87	142	87
1813	680	91	146	91
1814	680	91	148	93
1815	680	89	146	91
1816	680	88	143	86
1817	680	88	143	86
1818	680	89	142	86
1819	680	90	143	87
1820	680	93	148	93
1679	681	93	148	93
1680	681	82	137	82
1681	681	82	135	81
1682	681	88	141	85
1683	681	91	144	88
1684	681	83	141	83
1685	681	82	139	84
1686	681	84	141	86
1687	681	86	143	90
1688	681	83	137	85
1689	681	79	133	81
1690	681	77	132	77
1691	681	80	135	80
1692	681	83	140	85
1693	681	85	142	87
1694	681	85	142	87
1695	681	88	143	88
1696	681	86	141	86
