"photo"	"color"	"L_error"	"a_error"	"b_error"
"D31B09"	1	0.209830153418842	1.2321138503273	0.470974238755915
"D31B09"	2	1.90467866977131	3.16416376395786	0.816699626527683
"D31B09"	3	2.1632950414243	3.2470319731142	4.87132640671444
"D31B09"	4	0.965022230493481	5.90580287709441	0.315353486445836
"D31B09"	5	1.25616424384716	2.30193017796507	2.99233326481678
"D31B09"	6	2.24345920356825	1.91521862251381	4.87463050571015
"D31B09"	7	1.22719577534973	1.40605970163072	0.212848406146946
"D31B09"	8	NA	NA	NA
"D31B09"	9	0.512791816925315	1.39751206781956	1.19517256990606
"D31B09"	10	1.40663871202027	7.5061057418676	6.54839397496821
"D31B09"	11	4.02521969231249	0.525692901674709	4.44238415658491
"D31B09"	12	8.32807749195638	0.378644118153291	2.84306991487897
"D31B09"	13	2.24231653901623	6.97203238291718	7.44040233107209
"D31B09"	14	3.8725741219566	4.14689081071941	0.805715007297451
"D31B09"	15	2.14936643353965	6.52866061559965	4.51216020409278
"D31B09"	16	5.14326695662625	2.58100167978364	3.37227326792372
"D31B09"	17	0.828506286063153	11.1224719788224	6.48588739051258
"D31B09"	18	1.31210820068073	4.44699137661016	0.959286699696719
"D31B09"	19	NA	NA	NA
"D31B09"	20	2.27673368206594	1.97929194937972	5.86983707648932
"D31B09"	21	4.32267172955244	1.24795456396211	3.90599270807798
"D31B09"	22	1.50955812169557	1.31789084178521	2.60428592222763
"D31B09"	23	2.77664459023477	1.20573661804136	3.97940466370808
"D31B09"	24	NA	NA	NA
