"photo"	"color"	"L_error"	"a_error"	"b_error"
"D31B09"	1	3.78867981985722	2.26491662047579e-05	6.7382235094598
"D31B09"	2	4.33121506199846	2.15587711719536	6.85948338341102
"D31B09"	3	2.7595673753919	5.66488653878095	8.37749336628021
"D31B09"	4	4.99668827657941	0.93687193291184	7.67659186796978
"D31B09"	5	6.34055671981	3.30174394632406	6.32037579093921
"D31B09"	6	4.51721274329795	8.11467532335374	1.58748452879143
"D31B09"	7	6.92022469815754	0.113596747313288	11.3630861609457
"D31B09"	8	NA	NA	NA
"D31B09"	9	4.29963492306698	1.59151960105036	8.44093989860256
"D31B09"	10	4.25433457315639	6.85955985714477	2.06722539266647
"D31B09"	11	10.3878457157987	5.37159404447747	15.4408954720999
"D31B09"	12	14.2386687968482	1.27231677015059	14.800880116737
"D31B09"	13	0.846245971486457	6.24789916191447	8.11408975947907
"D31B09"	14	1.6633186304538	10.9987697866989	9.71195532182023
"D31B09"	15	1.99307462511595	2.41503173538983	4.47912203538683
"D31B09"	16	12.1604663826095	0.500073687953251	16.1769130163698
"D31B09"	17	4.13297675041987	13.0880210223396	1.43344238068507
"D31B09"	18	3.72925180211471	8.60706450275799	2.62996290548481
"D31B09"	19	NA	NA	NA
"D31B09"	20	5.44150567108018	1.00636166359391	0.62989373978929
"D31B09"	21	2.27898132898699	1.53592025270538	2.34172523942209
"D31B09"	22	3.41664600994212	3.72594508783002	8.27420466333921
"D31B09"	23	5.92922721730259	3.63547169919499	9.33324177535799
"D31B09"	24	NA	NA	NA
