X	Y	Red	Green	Blue
1331	671	177	35	59
1332	671	176	34	58
1333	671	173	31	55
1334	671	174	30	53
1335	671	180	36	59
1336	671	178	34	57
1337	671	175	31	54
1338	671	177	33	56
1339	671	177	33	56
1340	671	178	34	57
1341	671	178	34	57
1342	671	178	36	58
1343	671	177	35	57
1344	671	175	33	55
1345	671	176	34	56
1346	671	176	34	58
1347	671	177	35	59
1348	671	180	36	63
1349	671	177	33	60
1350	671	176	32	57
1351	671	176	32	57
1352	671	176	34	56
1353	671	174	32	54
1354	671	176	34	58
1355	671	177	35	59
1356	671	175	36	59
1357	671	175	36	59
1358	671	173	34	55
1359	671	172	33	54
1360	671	175	36	57
1361	671	177	35	57
1362	671	177	35	57
1363	671	176	32	55
1364	671	174	30	53
1365	671	177	33	56
1366	671	175	33	55
1367	671	176	34	56
1368	671	175	33	55
1369	671	173	31	53
1370	671	176	34	56
1371	671	177	35	57
1372	671	175	36	57
1373	671	177	38	59
1374	671	179	43	63
1375	671	180	44	64
1376	671	174	36	59
1377	671	173	34	57
1378	671	178	39	60
1379	671	180	38	60
1380	671	178	39	60
1381	671	175	36	57
1382	671	174	37	55
1383	671	173	34	53
1384	671	176	37	56
1385	671	181	40	59
1386	671	177	36	55
1387	671	176	35	54
1388	671	175	36	55
1389	671	174	35	54
1390	671	174	35	56
1391	671	173	34	55
1392	671	173	34	55
1393	671	171	32	53
1394	671	176	35	54
1395	671	178	37	56
1396	671	179	38	55
1397	671	177	36	53
1398	671	176	35	54
1399	671	175	34	53
1400	671	175	34	53
1401	671	177	36	55
1402	671	178	37	56
1403	671	176	35	54
1404	671	177	34	54
1405	671	178	35	55
1406	671	178	32	55
1407	671	178	32	55
1408	671	177	36	55
1409	671	178	37	56
1410	671	178	34	57
1411	671	176	32	55
1412	671	176	32	55
1413	671	175	31	54
1414	671	175	31	54
1415	671	176	32	55
1416	671	175	33	55
1417	671	174	32	54
1418	671	177	36	55
1419	671	179	38	57
1420	671	178	34	57
1421	671	179	35	58
1422	671	182	36	59
1423	671	182	36	59
1424	671	180	36	59
1425	671	180	36	59
1426	671	185	39	62
1427	671	183	37	60
1428	671	182	35	61
1429	671	180	33	59
1430	671	174	30	53
1431	671	176	32	55
1432	671	177	35	57
1433	671	177	35	57
1434	671	177	34	54
1435	671	180	37	57
1436	671	179	36	56
1437	671	180	37	57
1438	671	179	36	56
1439	671	178	35	55
1440	671	176	35	52
1441	671	177	36	53
1442	671	182	39	59
1443	671	183	40	60
1444	671	184	41	61
1445	671	182	39	59
1446	671	179	35	58
1447	671	179	35	58
1448	671	178	36	60
1449	671	177	35	59
1450	671	177	35	59
1451	671	179	37	61
1452	671	179	37	61
1453	671	178	36	60
1454	671	178	36	60
1455	671	179	37	61
1456	671	176	32	57
1457	671	177	33	58
1458	671	180	38	60
1459	671	177	35	57
1460	671	179	37	59
1461	671	177	35	57
1462	671	178	37	56
1463	671	178	37	56
1464	671	183	42	59
1465	671	180	39	56
1466	671	176	35	52
1467	671	177	36	53
1468	671	177	38	57
1469	671	173	34	55
1470	671	176	37	58
1471	671	177	38	61
1472	671	175	36	57
1473	671	176	37	58
1474	671	177	36	55
1475	671	176	35	54
1476	671	178	35	55
1477	671	177	34	54
1478	671	174	33	52
1479	671	177	36	55
1480	671	179	38	57
1481	671	176	35	54
1482	671	177	36	55
1483	671	182	41	60
1484	671	177	36	55
1485	671	174	33	52
1486	671	176	33	53
1487	671	176	33	53
1488	671	174	35	56
1489	671	174	35	58
1490	671	174	32	56
1491	671	175	33	59
1492	671	180	36	63
1493	671	179	35	62
1494	671	175	31	56
1495	671	175	31	56
1496	671	178	36	58
1497	671	177	35	57
1498	671	178	36	58
1499	671	176	34	56
1500	671	177	34	54
1501	671	177	34	54
1502	671	181	35	56
1503	671	179	35	58
1504	671	174	32	54
1505	671	174	35	58
1506	671	177	38	61
1507	671	177	38	61
1508	671	170	32	55
1509	671	171	33	56
1510	671	177	38	59
1511	671	176	37	58
1512	671	176	37	56
1513	671	176	37	56
1514	671	177	38	57
1331	672	175	33	57
1332	672	175	33	55
1333	672	173	31	53
1334	672	173	31	53
1335	672	176	34	56
1336	672	180	37	57
1337	672	174	31	51
1338	672	179	36	56
1339	672	177	34	54
1340	672	177	33	56
1341	672	179	35	58
1342	672	178	34	57
1343	672	178	34	57
1344	672	177	33	56
1345	672	178	34	57
1346	672	175	33	57
1347	672	175	33	57
1348	672	176	34	58
1349	672	175	33	57
1350	672	174	32	56
1351	672	174	32	56
1352	672	177	33	58
1353	672	176	32	57
1354	672	176	32	57
1355	672	177	33	58
1356	672	179	37	61
1357	672	180	38	62
1358	672	177	35	57
1359	672	177	35	57
1360	672	178	36	58
1361	672	176	34	56
1362	672	179	37	59
1363	672	177	35	57
1364	672	175	33	55
1365	672	174	32	54
1366	672	176	35	54
1367	672	178	37	56
1368	672	177	35	57
1369	672	173	31	53
1370	672	177	35	59
1371	672	177	35	59
1372	672	175	36	59
1373	672	176	37	60
1374	672	178	41	59
1375	672	177	40	58
1376	672	173	36	56
1377	672	171	34	54
1378	672	176	37	58
1379	672	177	38	59
1380	672	175	36	55
1381	672	177	38	57
1382	672	175	36	55
1383	672	171	32	51
1384	672	176	37	58
1385	672	176	37	58
1386	672	175	33	57
1387	672	176	34	58
1388	672	177	38	61
1389	672	175	36	59
1390	672	172	36	58
1391	672	172	34	57
1392	672	172	34	57
1393	672	170	31	54
1394	672	175	33	57
1395	672	177	35	59
1396	672	176	34	56
1397	672	175	33	55
1398	672	174	33	52
1399	672	174	33	52
1400	672	175	32	52
1401	672	176	33	53
1402	672	180	36	59
1403	672	181	37	60
1404	672	178	34	57
1405	672	177	33	56
1406	672	176	35	54
1407	672	176	35	54
1408	672	178	34	57
1409	672	177	33	56
1410	672	176	32	55
1411	672	175	31	54
1412	672	177	33	56
1413	672	173	29	52
1414	672	174	31	51
1415	672	177	34	54
1416	672	177	34	54
1417	672	174	31	51
1418	672	176	32	55
1419	672	176	32	55
1420	672	177	33	58
1421	672	178	34	59
1422	672	180	36	63
1423	672	181	37	64
1424	672	184	38	61
1425	672	182	36	59
1426	672	185	39	62
1427	672	183	37	60
1428	672	180	37	57
1429	672	181	38	58
1430	672	181	37	60
1431	672	180	36	59
1432	672	179	35	58
1433	672	177	33	56
1434	672	179	35	58
1435	672	180	36	59
1436	672	179	36	56
1437	672	180	37	57
1438	672	182	36	55
1439	672	181	35	56
1440	672	178	36	60
1441	672	172	30	56
1442	672	176	34	56
1443	672	179	37	59
1444	672	182	39	59
1445	672	180	37	57
1446	672	178	34	57
1447	672	178	34	57
1448	672	179	35	60
1449	672	178	34	59
1450	672	180	36	61
1451	672	178	34	59
1452	672	179	35	60
1453	672	179	35	60
1454	672	180	36	61
1455	672	180	36	61
1456	672	178	34	59
1457	672	177	33	58
1458	672	181	39	61
1459	672	179	37	59
1460	672	179	37	59
1461	672	178	36	58
1462	672	176	37	56
1463	672	176	37	56
1464	672	181	40	57
1465	672	176	35	52
1466	672	178	37	56
1467	672	179	38	57
1468	672	177	35	57
1469	672	175	33	55
1470	672	174	32	56
1471	672	173	31	55
1472	672	172	33	54
1473	672	172	33	54
1474	672	175	36	57
1475	672	174	35	56
1476	672	175	36	55
1477	672	176	37	56
1478	672	176	35	54
1479	672	177	36	55
1480	672	181	38	58
1481	672	177	34	54
1482	672	177	34	54
1483	672	179	36	56
1484	672	178	36	58
1485	672	176	34	56
1486	672	176	34	56
1487	672	175	33	55
1488	672	177	35	59
1489	672	175	33	57
1490	672	175	33	55
1491	672	176	34	56
1492	672	178	36	58
1493	672	179	37	59
1494	672	175	31	54
1495	672	175	31	54
1496	672	178	34	59
1497	672	176	32	57
1498	672	176	32	57
