X	Y	Red	Green	Blue
1142	1255	79	97	73
1143	1255	77	95	71
1144	1255	74	94	67
1145	1255	74	94	67
1146	1255	75	95	67
1147	1255	77	97	69
1148	1255	75	98	69
1149	1255	73	96	67
1150	1255	70	93	64
1151	1255	66	89	60
1152	1255	74	101	68
1153	1255	79	104	72
1154	1255	73	98	66
1155	1255	67	91	59
1156	1255	71	91	63
1157	1255	73	93	65
1158	1255	67	90	61
1159	1255	66	91	61
1160	1255	70	97	64
1161	1255	73	103	69
1162	1255	75	106	72
1163	1255	74	105	71
1164	1255	70	100	66
1165	1255	70	97	64
1166	1255	73	100	69
1167	1255	75	100	70
1168	1255	73	98	68
1169	1255	70	95	65
1170	1255	70	95	66
1171	1255	69	94	65
1172	1255	72	97	68
1173	1255	72	97	68
1174	1255	75	98	69
1175	1255	75	98	69
1176	1255	73	96	67
1177	1255	77	100	71
1178	1255	76	100	68
1179	1255	74	98	66
1180	1255	76	100	68
1181	1255	75	99	67
1182	1255	74	98	66
1183	1255	71	95	63
1184	1255	67	91	59
1185	1255	70	94	62
1186	1255	72	96	64
1187	1255	73	97	65
1188	1255	76	100	68
1189	1255	76	100	68
1190	1255	73	96	67
1191	1255	72	95	66
1192	1255	75	98	69
1193	1255	73	96	67
1194	1255	72	97	67
1195	1255	73	98	68
1196	1255	72	97	67
1197	1255	72	97	67
1198	1255	73	97	65
1199	1255	75	99	67
1200	1255	73	98	66
1201	1255	76	101	69
1202	1255	74	97	68
1203	1255	72	95	66
1204	1255	76	99	70
1205	1255	77	100	71
1206	1255	71	96	66
1207	1255	71	96	66
1208	1255	76	101	69
1209	1255	75	100	68
1210	1255	74	98	66
1142	1256	77	97	69
1143	1256	76	96	68
1144	1256	77	95	69
1145	1256	75	93	67
1146	1256	76	94	68
1147	1256	75	93	67
1148	1256	75	95	67
1149	1256	71	91	63
1150	1256	68	91	62
1151	1256	72	95	66
1152	1256	85	109	77
1153	1256	80	104	72
1154	1256	75	98	69
1155	1256	64	87	58
1156	1256	67	87	60
1157	1256	67	87	60
1158	1256	63	86	58
1159	1256	68	93	64
1160	1256	70	97	64
1161	1256	69	99	65
1162	1256	69	104	64
1163	1256	68	103	63
1164	1256	71	103	66
1165	1256	70	100	66
1166	1256	71	98	67
1167	1256	73	98	69
1168	1256	73	98	69
1169	1256	71	96	67
1170	1256	71	96	66
1171	1256	69	94	64
1172	1256	72	97	67
1173	1256	75	100	70
1174	1256	74	99	70
1175	1256	74	99	70
1176	1256	69	92	64
1177	1256	74	97	69
1178	1256	74	98	66
1179	1256	73	97	65
1180	1256	74	98	66
1181	1256	74	98	66
1182	1256	75	98	69
1183	1256	73	96	67
1184	1256	74	97	68
1185	1256	69	92	63
1186	1256	69	92	63
1187	1256	70	93	64
1188	1256	72	96	64
