X	Y	Red	Green	Blue
992	499	114	110	125
993	499	111	107	122
994	499	101	97	111
995	499	100	96	110
996	499	109	105	119
997	499	111	107	122
998	499	109	105	120
999	499	111	107	124
1000	499	111	108	125
1001	499	109	106	123
1002	499	113	111	125
1003	499	118	116	130
1004	499	116	114	127
1005	499	109	107	120
1006	499	111	107	122
1007	499	114	110	125
1008	499	115	113	127
1009	499	114	111	128
1010	499	112	109	126
1011	499	110	107	126
1012	499	113	110	131
1013	499	118	115	136
1014	499	120	117	136
1015	499	120	117	136
1016	499	121	120	136
1017	499	116	115	131
1018	499	115	114	128
1019	499	115	114	128
1020	499	116	115	129
1021	499	115	114	128
1022	499	114	114	126
1023	499	112	111	125
1024	499	115	113	127
1025	499	115	112	129
1026	499	118	114	131
1027	499	120	116	133
1028	499	120	113	129
1029	499	116	109	125
1030	499	117	111	125
1031	499	118	112	126
1032	499	117	111	125
1033	499	113	107	121
1034	499	113	105	120
1035	499	113	105	120
1036	499	112	103	120
1037	499	113	104	121
1038	499	114	110	125
1039	499	117	113	130
1040	499	116	112	129
1041	499	109	104	124
1042	499	110	106	123
1043	499	118	114	131
1044	499	119	115	130
1045	499	114	110	125
1046	499	115	111	126
1047	499	114	110	125
1048	499	112	110	124
1049	499	115	113	127
1050	499	118	116	130
1051	499	115	113	127
1052	499	115	112	129
1053	499	114	111	128
1054	499	113	109	126
1055	499	113	109	126
1056	499	112	108	125
1057	499	117	113	130
1058	499	117	113	130
1059	499	114	110	127
1060	499	112	109	126
1061	499	115	112	129
1062	499	118	115	134
1063	499	116	113	132
992	500	111	107	122
993	500	112	108	123
994	500	109	105	119
995	500	106	102	116
996	500	109	105	120
997	500	114	110	125
998	500	115	111	128
999	500	112	108	125
1000	500	112	109	126
1001	500	113	110	127
1002	500	117	116	130
1003	500	118	117	131
1004	500	116	114	127
1005	500	115	113	126
1006	500	117	115	128
1007	500	115	113	126
1008	500	113	111	125
1009	500	114	111	128
1010	500	112	109	126
1011	500	108	105	124
1012	500	110	107	126
1013	500	115	112	131
1014	500	119	116	133
1015	500	118	115	132
1016	500	117	116	132
1017	500	112	111	127
1018	500	114	113	129
1019	500	115	114	130
1020	500	116	115	129
1021	500	117	116	130
1022	500	116	115	129
1023	500	115	114	128
1024	500	118	115	132
1025	500	119	116	133
1026	500	118	114	131
1027	500	118	114	131
1028	500	119	115	132
1029	500	118	114	131
1030	500	117	113	128
1031	500	117	113	128
1032	500	119	113	127
1033	500	113	107	121
1034	500	117	109	124
1035	500	118	110	125
1036	500	115	106	123
1037	500	116	107	124
1038	500	120	116	133
1039	500	124	120	137
1040	500	116	112	129
1041	500	111	107	124
1042	500	111	104	122
1043	500	117	110	128
1044	500	117	110	126
1045	500	116	109	125
1046	500	114	110	124
1047	500	109	105	119
1048	500	113	111	124
1049	500	114	112	125
1050	500	118	116	130
1051	500	118	116	130
1052	500	113	110	127
1053	500	109	106	123
1054	500	113	109	126
1055	500	117	113	130
1056	500	115	108	124
1057	500	107	100	116
1058	500	111	107	124
1059	500	110	106	123
1060	500	106	102	119
1061	500	115	111	128
1062	500	118	114	131
1063	500	115	111	128
992	501	106	102	119
993	501	112	108	125
994	501	119	115	130
995	501	114	110	125
996	501	110	106	121
997	501	113	109	124
998	501	116	112	129
999	501	115	111	128
1000	501	111	108	125
1001	501	112	109	126
1002	501	116	115	129
1003	501	115	114	128
1004	501	116	114	128
1005	501	117	115	129
1006	501	116	114	127
1007	501	110	108	121
1008	501	112	110	124
1009	501	116	113	130
1010	501	112	109	126
1011	501	109	106	125
1012	501	110	107	126
1013	501	112	109	128
1014	501	116	115	131
1015	501	115	114	130
1016	501	114	113	127
1017	501	112	111	125
1018	501	113	112	126
1019	501	112	111	125
1020	501	114	113	127
1021	501	117	116	130
1022	501	116	115	129
1023	501	117	116	130
1024	501	115	114	130
1025	501	116	115	131
1026	501	116	113	130
1027	501	115	112	129
1028	501	117	114	131
1029	501	116	113	130
1030	501	117	115	129
1031	501	117	115	129
1032	501	111	107	121
1033	501	107	103	117
1034	501	113	106	122
1035	501	117	110	126
1036	501	115	111	126
1037	501	114	110	125
1038	501	118	115	132
1039	501	124	121	138
1040	501	117	113	130
1041	501	116	112	129
1042	501	116	109	125
1043	501	116	109	125
1044	501	116	110	124
1045	501	116	110	124
1046	501	116	112	126
1047	501	114	110	124
1048	501	110	108	121
1049	501	114	112	125
1050	501	118	116	129
1051	501	118	116	129
1052	501	113	109	124
1053	501	110	106	121
1054	501	117	110	126
1055	501	119	112	128
1056	501	114	107	123
1057	501	109	102	118
1058	501	108	104	119
1059	501	110	106	121
1060	501	113	109	124
1061	501	117	113	128
1062	501	117	113	128
1063	501	115	111	126
992	502	108	104	121
993	502	116	112	129
994	502	120	116	131
995	502	118	114	129
996	502	114	110	125
997	502	109	105	120
998	502	112	109	126
999	502	114	111	128
1000	502	108	107	125
1001	502	108	107	125
1002	502	114	113	127
1003	502	114	113	127
1004	502	115	115	127
1005	502	114	114	126
1006	502	116	114	127
1007	502	113	111	125
1008	502	111	109	123
1009	502	114	111	128
1010	502	110	107	126
1011	502	105	102	121
1012	502	103	100	117
1013	502	107	104	121
1014	502	113	112	126
1015	502	114	113	127
1016	502	119	119	131
1017	502	119	119	131
1018	502	115	114	128
1019	502	113	112	126
1020	502	115	114	128
1021	502	116	115	129
1022	502	116	114	128
1023	502	117	115	129
1024	502	118	115	132
1025	502	116	113	130
1026	502	114	113	129
1027	502	113	112	128
1028	502	114	113	129
1029	502	113	112	128
1030	502	116	114	128
1031	502	113	111	125
1032	502	105	101	116
1033	502	110	106	121
1034	502	113	109	124
1035	502	114	110	125
1036	502	120	116	133
1037	502	120	116	133
1038	502	117	114	133
1039	502	118	115	134
1040	502	118	114	129
1041	502	115	111	126
1042	502	116	109	125
1043	502	115	108	124
1044	502	113	107	121
1045	502	111	105	119
1046	502	114	111	122
1047	502	114	111	122
1048	502	109	107	118
1049	502	115	113	124
1050	502	117	115	128
1051	502	116	114	127
1052	502	113	109	123
1053	502	111	107	121
1054	502	116	109	125
1055	502	120	113	129
1056	502	115	108	124
1057	502	114	107	123
1058	502	115	108	124
1059	502	116	109	125
1060	502	113	109	124
1061	502	110	106	121
1062	502	113	109	124
1063	502	114	110	125
992	503	111	107	124
993	503	115	111	128
994	503	119	115	130
995	503	120	116	131
996	503	110	106	121
997	503	105	101	116
998	503	117	114	131
999	503	115	112	129
1000	503	108	107	125
1001	503	106	105	123
1002	503	111	110	124
1003	503	111	110	124
1004	503	112	112	124
1005	503	113	113	125
1006	503	117	115	128
1007	503	116	114	128
1008	503	113	111	125
1009	503	109	106	123
1010	503	111	108	127
1011	503	112	109	128
1012	503	109	106	123
1013	503	110	107	124
1014	503	112	112	124
1015	503	108	108	120
1016	503	116	116	128
1017	503	121	121	133
1018	503	115	115	127
1019	503	114	114	126
1020	503	117	115	129
1021	503	116	114	128
1022	503	115	113	127
1023	503	115	113	127
1024	503	118	114	131
1025	503	118	114	131
1026	503	114	113	129
1027	503	112	111	127
1028	503	114	113	129
1029	503	115	112	129
1030	503	118	115	132
1031	503	119	115	132
1032	503	115	108	124
1033	503	117	110	126
1034	503	114	110	127
1035	503	112	108	125
1036	503	119	116	135
1037	503	123	120	139
1038	503	119	116	137
1039	503	116	113	134
1040	503	118	114	131
1041	503	113	109	126
1042	503	115	108	124
1043	503	114	107	123
1044	503	112	106	120
1045	503	111	105	119
1046	503	114	110	124
1047	503	113	109	123
1048	503	109	107	118
1049	503	109	107	118
1050	503	109	107	120
1051	503	112	110	123
1052	503	111	107	122
1053	503	106	99	115
1054	503	107	100	116
1055	503	119	110	127
1056	503	120	113	129
1057	503	116	109	125
1058	503	121	114	130
1059	503	119	112	128
1060	503	116	112	127
1061	503	115	111	126
1062	503	113	109	123
1063	503	113	109	123
992	504	111	107	124
993	504	109	105	122
994	504	114	112	126
995	504	115	113	127
996	504	111	110	124
997	504	111	110	124
998	504	117	116	132
999	504	115	114	130
1000	504	113	110	129
1001	504	105	102	121
1002	504	103	100	117
1003	504	110	107	124
1004	504	115	113	127
1005	504	115	113	127
1006	504	114	113	127
1007	504	115	114	130
1008	504	115	112	129
1009	504	112	109	128
1010	504	115	112	129
1011	504	115	112	129
1012	504	113	111	125
1013	504	114	112	126
1014	504	113	109	124
1015	504	109	105	120
1016	504	116	114	128
1017	504	122	120	134
1018	504	118	117	131
1019	504	115	114	128
1020	504	114	113	127
1021	504	113	111	125
1022	504	114	112	126
1023	504	120	116	131
1024	504	122	119	136
1025	504	121	118	135
1026	504	119	116	133
1027	504	117	114	131
1028	504	114	112	126
1029	504	115	113	127
1030	504	125	123	137
1031	504	128	126	140
1032	504	119	115	132
1033	504	115	111	128
1034	504	113	105	126
1035	504	112	104	125
1036	504	115	110	132
1037	504	115	110	132
1038	504	115	113	134
1039	504	116	113	134
1040	504	117	114	133
1041	504	112	107	127
1042	504	115	108	126
1043	504	116	109	127
1044	504	113	109	126
1045	504	115	111	128
1046	504	113	109	124
1047	504	114	110	125
1048	504	108	104	119
1049	504	104	100	115
1050	504	114	107	123
1051	504	118	111	127
1052	504	117	108	125
1053	504	113	104	121
1054	504	111	104	120
1055	504	114	107	123
1056	504	118	111	127
1057	504	115	108	124
1058	504	120	116	130
1059	504	123	119	133
1060	504	118	114	128
1061	504	115	111	125
1062	504	114	108	122
1063	504	116	110	124
992	505	108	105	122
993	505	110	107	124
994	505	110	107	124
995	505	106	103	120
996	505	112	111	127
997	505	116	115	131
998	505	115	114	130
999	505	113	112	128
1000	505	116	113	130
1001	505	111	108	125
1002	505	108	105	124
1003	505	110	107	126
1004	505	112	109	126
1005	505	112	109	126
1006	505	115	114	128
1007	505	123	122	136
1008	505	115	112	129
1009	505	108	105	122
1010	505	111	108	125
1011	505	111	108	125
1012	505	107	104	121
1013	505	108	105	122
1014	505	108	104	119
1015	505	102	98	113
1016	505	113	109	124
1017	505	116	112	127
1018	505	113	111	124
1019	505	112	110	123
1020	505	113	111	124
1021	505	113	111	124
1022	505	116	112	126
1023	505	122	118	133
1024	505	125	123	137
1025	505	125	122	139
1026	505	120	118	132
1027	505	117	115	129
1028	505	117	115	129
1029	505	115	113	127
1030	505	120	118	132
1031	505	126	124	138
1032	505	121	118	135
1033	505	115	112	129
1034	505	112	107	127
1035	505	105	100	120
1036	505	109	104	124
1037	505	112	107	127
1038	505	115	112	131
1039	505	112	109	128
1040	505	110	107	126
1041	505	113	110	129
1042	505	115	110	130
1043	505	113	108	128
1044	505	114	110	127
1045	505	118	114	131
1046	505	119	116	133
1047	505	117	114	131
1048	505	111	109	123
1049	505	110	106	121
1050	505	116	112	127
1051	505	120	113	129
1052	505	119	112	128
1053	505	115	108	124
1054	505	111	104	120
1055	505	113	106	122
1056	505	112	105	121
1057	505	113	106	122
1058	505	117	113	127
1059	505	118	114	128
1060	505	120	116	130
1061	505	114	110	124
1062	505	112	108	122
1063	505	114	110	124
992	506	111	108	125
993	506	116	113	130
994	506	112	111	129
995	506	104	103	121
996	506	109	108	126
997	506	111	110	128
998	506	112	109	126
999	506	113	110	127
1000	506	116	113	130
1001	506	113	110	127
1002	506	111	106	126
1003	506	110	105	125
1004	506	110	107	126
1005	506	110	107	126
1006	506	110	109	123
1007	506	119	118	132
1008	506	118	116	130
1009	506	107	105	119
1010	506	106	103	120
1011	506	108	105	122
1012	506	107	104	121
1013	506	108	105	122
1014	506	107	103	120
1015	506	99	95	112
1016	506	103	96	112
1017	506	110	103	119
1018	506	109	105	119
1019	506	107	103	117
1020	506	108	106	117
1021	506	112	110	121
1022	506	114	112	125
1023	506	118	116	129
1024	506	120	118	132
1025	506	121	119	133
1026	506	120	118	132
1027	506	121	119	133
1028	506	121	119	133
1029	506	119	117	131
1030	506	120	117	134
1031	506	124	121	138
1032	506	124	121	138
1033	506	116	113	130
1034	506	115	110	130
1035	506	112	107	127
1036	506	114	109	129
1037	506	115	110	130
1038	506	115	112	129
1039	506	112	109	128
1040	506	113	110	129
1041	506	115	112	133
1042	506	113	108	128
1043	506	115	110	130
1044	506	115	110	130
1045	506	117	112	132
1046	506	119	116	135
1047	506	117	114	133
1048	506	113	110	127
1049	506	111	108	125
1050	506	115	111	128
1051	506	115	111	128
1052	506	120	113	129
1053	506	119	112	128
1054	506	113	109	124
1055	506	111	107	122
1056	506	114	107	123
1057	506	111	104	120
1058	506	110	106	120
1059	506	110	106	120
1060	506	115	113	126
1061	506	111	109	122
1062	506	111	107	122
1063	506	114	110	125
992	507	115	112	129
993	507	119	116	135
994	507	117	114	133
995	507	111	108	129
996	507	110	107	128
997	507	109	106	127
998	507	114	111	128
999	507	117	114	131
1000	507	117	113	130
1001	507	114	109	129
1002	507	109	104	124
1003	507	104	99	121
1004	507	108	103	123
1005	507	112	107	127
