X	Y	Red	Green	Blue
1893	1089	200	109	56
1894	1089	201	110	57
1895	1089	198	107	54
1896	1089	198	104	52
1897	1089	202	108	56
1898	1089	206	110	60
1899	1089	204	108	58
1900	1089	201	105	55
1901	1089	199	103	53
1902	1089	200	104	53
1903	1089	203	107	56
1904	1089	202	107	53
1905	1089	201	106	52
1906	1089	202	107	51
1907	1089	199	104	48
1908	1089	200	103	48
1909	1089	205	108	53
1910	1089	213	114	59
1911	1089	209	109	57
1912	1089	204	103	51
1913	1089	203	101	53
1914	1089	199	99	50
1915	1089	200	100	51
1916	1089	205	109	58
1917	1089	208	113	59
1918	1089	204	111	54
1919	1089	203	110	53
1920	1089	203	110	51
1921	1089	204	111	52
1922	1089	206	111	55
1923	1089	206	111	55
1924	1089	205	108	55
1925	1089	206	109	58
1926	1089	204	107	56
1927	1089	199	101	52
1928	1089	203	107	57
1929	1089	205	109	59
1930	1089	206	110	59
1931	1089	206	110	59
1932	1089	203	107	56
1933	1089	200	104	53
1934	1089	199	103	53
1893	1090	202	108	56
1894	1090	205	111	59
1895	1090	200	106	54
1896	1090	198	102	51
1897	1090	200	104	53
1898	1090	202	106	56
1899	1090	201	105	55
1900	1090	200	104	54
1901	1090	198	102	52
1902	1090	200	105	51
1903	1090	206	111	57
1904	1090	207	112	58
1905	1090	203	108	54
1906	1090	203	106	51
1907	1090	199	102	47
1908	1090	201	102	47
1909	1090	207	108	53
1910	1090	213	112	58
1911	1090	208	107	53
1912	1090	203	102	50
1913	1090	202	100	51
1914	1090	197	97	48
1915	1090	197	96	50
1916	1090	206	109	58
1917	1090	211	114	63
1918	1090	207	112	56
1919	1090	204	109	53
1920	1090	199	106	49
1921	1090	203	110	53
1922	1090	206	111	55
1923	1090	203	108	52
1924	1090	206	109	54
1925	1090	207	110	57
1926	1090	204	107	54
1927	1090	204	107	56
1928	1090	205	109	58
1929	1090	207	111	60
1930	1090	206	110	59
1931	1090	209	113	62
1932	1090	208	112	61
1933	1090	205	109	58
1934	1090	205	108	57
1893	1091	199	105	54
1894	1091	203	107	57
1895	1091	200	104	54
1896	1091	199	103	53
1897	1091	200	104	54
1898	1091	200	102	55
1899	1091	202	104	57
1900	1091	201	103	54
1901	1091	199	101	52
1902	1091	200	103	52
1903	1091	209	112	61
1904	1091	211	114	59
1905	1091	209	112	57
1906	1091	208	111	58
1907	1091	205	108	55
1908	1091	206	106	54
1909	1091	211	111	59
1910	1091	215	114	60
1911	1091	210	109	55
1912	1091	205	104	52
1913	1091	203	101	52
1914	1091	195	93	45
1915	1091	193	90	45
1916	1091	200	102	53
1917	1091	208	110	61
1918	1091	207	112	58
1919	1091	203	108	54
1920	1091	201	107	53
1921	1091	203	109	55
1922	1091	206	111	55
1923	1091	204	109	53
1924	1091	206	111	55
1925	1091	209	114	58
1926	1091	206	111	57
1927	1091	204	109	55
1928	1091	206	110	59
1929	1091	206	110	59
1930	1091	206	110	59
1931	1091	210	114	63
1932	1091	208	111	60
1933	1091	204	107	56
1934	1091	204	107	56
1893	1092	198	102	54
1894	1092	200	104	54
1895	1092	201	105	55
1896	1092	201	103	54
1897	1092	201	103	54
1898	1092	199	101	52
1899	1092	200	102	53
1900	1092	201	103	54
1901	1092	200	102	53
1902	1092	200	103	52
1903	1092	206	109	58
1904	1092	207	110	55
1905	1092	206	109	54
1906	1092	207	110	55
1907	1092	208	111	56
1908	1092	206	109	56
1909	1092	209	112	59
1910	1092	212	113	58
1911	1092	209	110	55
1912	1092	209	108	54
1913	1092	207	106	54
1914	1092	197	97	47
1915	1092	190	90	41
1916	1092	195	98	47
1917	1092	205	108	57
1918	1092	209	114	60
1919	1092	204	109	55
1920	1092	202	108	54
1921	1092	204	110	56
1922	1092	204	111	54
1923	1092	203	110	53
1924	1092	206	113	56
1925	1092	209	116	59
1926	1092	208	113	59
1927	1092	203	108	54
1928	1092	205	109	58
1929	1092	206	110	59
1930	1092	209	113	62
1931	1092	209	113	62
1932	1092	205	108	57
1933	1092	203	106	55
1934	1092	203	106	55
1893	1093	199	104	56
1894	1093	201	105	54
1895	1093	202	106	55
1896	1093	205	108	57
1897	1093	204	107	56
1898	1093	200	103	52
1899	1093	198	101	50
1900	1093	201	103	54
1901	1093	203	105	56
1902	1093	201	105	54
1903	1093	205	110	56
1904	1093	205	110	54
1905	1093	201	106	48
1906	1093	203	108	52
1907	1093	206	111	55
1908	1093	204	109	55
1909	1093	207	112	58
1910	1093	210	115	57
1911	1093	207	112	54
1912	1093	209	112	57
1913	1093	208	111	58
1914	1093	204	107	54
1915	1093	198	101	50
1916	1093	199	102	49
1917	1093	203	106	53
1918	1093	205	110	54
1919	1093	203	108	52
1920	1093	202	109	52
1921	1093	205	112	55
1922	1093	205	112	55
1923	1093	202	109	52
1924	1093	204	111	54
1925	1093	208	114	60
1926	1093	206	112	58
1927	1093	204	110	58
1928	1093	202	108	56
1929	1093	204	110	58
1930	1093	206	111	57
1931	1093	204	109	55
1932	1093	203	108	54
1933	1093	205	110	56
1934	1093	202	106	55
1893	1094	202	108	57
1894	1094	204	108	57
1895	1094	206	110	59
1896	1094	209	112	59
1897	1094	209	112	59
1898	1094	204	107	56
1899	1094	198	101	50
1900	1094	198	102	52
1901	1094	202	106	56
1902	1094	204	108	58
1903	1094	208	112	61
1904	1094	206	111	57
1905	1094	201	106	50
1906	1094	201	108	51
1907	1094	204	111	54
1908	1094	203	109	55
1909	1094	208	114	60
1910	1094	211	118	61
1911	1094	208	115	58
1912	1094	206	111	55
1913	1094	207	112	56
