X	Y	Red	Green	Blue
487	813	48	121	166
488	813	49	120	164
489	813	49	120	164
490	813	47	120	163
491	813	47	120	163
492	813	47	120	163
493	813	48	121	164
494	813	47	120	163
495	813	47	120	163
496	813	47	122	164
497	813	47	122	164
498	813	47	122	164
499	813	43	118	160
500	813	48	123	163
501	813	52	127	167
502	813	48	126	165
503	813	46	124	163
504	813	45	122	164
505	813	46	123	165
506	813	46	123	165
507	813	45	122	164
508	813	50	125	167
509	813	53	128	170
510	813	51	126	168
511	813	46	121	163
512	813	45	120	162
513	813	43	118	160
514	813	49	123	168
515	813	49	123	168
516	813	48	125	169
517	813	52	129	173
518	813	49	128	169
519	813	45	124	165
520	813	45	124	165
521	813	43	122	163
522	813	45	122	164
523	813	47	124	166
524	813	46	123	165
525	813	46	123	165
526	813	47	124	166
527	813	47	122	164
528	813	45	119	164
529	813	47	120	165
530	813	47	120	165
531	813	49	122	167
532	813	48	121	166
533	813	44	117	162
534	813	46	119	164
535	813	48	121	166
536	813	46	117	163
537	813	45	116	162
538	813	48	119	163
539	813	49	120	164
540	813	45	116	158
541	813	43	114	156
542	813	45	118	159
543	813	45	118	159
544	813	45	118	159
545	813	47	120	161
546	813	49	122	163
547	813	51	124	165
548	813	51	126	168
549	813	53	128	170
550	813	53	128	170
551	813	51	126	168
552	813	50	124	169
553	813	50	124	169
554	813	47	121	166
555	813	47	121	166
556	813	48	122	167
557	813	48	122	167
558	813	45	122	166
559	813	45	122	166
560	813	46	120	165
561	813	47	121	166
562	813	46	120	165
563	813	46	120	165
564	813	49	122	167
565	813	49	122	167
566	813	48	120	168
567	813	46	118	166
568	813	47	121	168
569	813	49	123	170
570	813	48	122	167
571	813	50	124	169
572	813	53	126	169
573	813	48	121	164
574	813	46	117	161
575	813	48	119	163
576	813	48	121	162
577	813	50	123	164
578	813	49	122	163
579	813	49	122	163
580	813	48	123	163
581	813	47	122	162
582	813	47	122	164
583	813	49	124	166
584	813	47	124	166
585	813	47	124	166
586	813	47	125	164
587	813	48	126	165
588	813	48	126	165
589	813	48	126	165
590	813	48	125	167
591	813	48	125	167
592	813	49	126	168
593	813	49	126	168
594	813	49	124	164
595	813	49	124	164
596	813	50	123	164
597	813	48	121	162
487	814	48	121	166
488	814	49	122	167
489	814	50	123	168
490	814	47	120	163
491	814	44	117	160
492	814	45	118	161
493	814	47	120	163
494	814	49	120	164
495	814	51	122	166
496	814	48	123	165
497	814	47	122	164
498	814	48	123	165
499	814	47	122	164
500	814	52	127	167
501	814	52	127	167
502	814	46	124	163
503	814	47	125	164
504	814	46	123	165
505	814	47	124	166
506	814	46	123	165
507	814	43	120	162
508	814	48	122	167
509	814	52	126	171
510	814	52	126	171
511	814	48	122	167
512	814	46	119	164
513	814	44	117	162
514	814	46	120	165
515	814	44	118	163
516	814	45	122	166
517	814	51	128	172
518	814	51	130	171
519	814	47	126	167
520	814	46	125	166
521	814	44	123	164
522	814	47	124	168
523	814	46	123	167
524	814	46	120	165
525	814	47	121	166
526	814	49	124	166
527	814	50	125	167
528	814	50	123	166
