X	Y	Red	Green	Blue
1344	917	189	83	106
1345	917	187	79	103
1346	917	183	75	101
1347	917	187	77	104
1348	917	183	73	100
1349	917	181	71	98
1350	917	183	73	100
1351	917	183	73	100
1352	917	183	74	103
1353	917	181	72	101
1354	917	181	71	100
1355	917	179	69	98
1356	917	184	71	99
1357	917	188	75	103
1358	917	185	72	100
1359	917	179	66	96
1360	917	178	68	97
1361	917	180	69	101
1362	917	178	67	99
1363	917	179	68	100
1364	917	183	72	104
1365	917	185	74	106
1366	917	182	73	102
1367	917	178	69	98
1368	917	180	71	100
1369	917	180	71	100
1370	917	180	70	99
1371	917	181	71	100
1372	917	179	69	98
1373	917	179	69	98
1374	917	181	71	100
1375	917	181	71	100
1376	917	184	71	101
1377	917	181	68	98
1378	917	181	68	98
1379	917	183	70	100
1380	917	181	71	100
1381	917	180	70	99
1382	917	181	73	99
1383	917	181	73	99
1384	917	179	70	99
1385	917	173	64	93
1386	917	181	71	98
1387	917	179	69	96
1388	917	182	72	99
1389	917	180	70	97
1390	917	179	71	97
1391	917	181	73	99
1392	917	180	73	101
1393	917	178	71	99
1394	917	184	76	102
1395	917	184	76	102
1396	917	183	73	100
1397	917	183	73	100
1398	917	184	71	101
1399	917	183	70	100
1400	917	179	66	96
1401	917	184	71	101
1402	917	184	71	99
1403	917	184	71	99
1404	917	185	72	100
1405	917	185	72	100
1406	917	184	71	101
1407	917	183	70	100
1408	917	182	72	99
1409	917	184	74	101
1410	917	184	74	103
1411	917	179	69	98
1412	917	176	66	95
1413	917	178	68	97
1414	917	182	72	101
1415	917	185	75	104
1416	917	183	73	100
1417	917	183	73	100
1418	917	181	71	98
1419	917	184	74	101
1420	917	182	72	101
1421	917	182	72	101
1422	917	182	72	101
1423	917	186	76	105
1424	917	186	76	103
1425	917	186	76	103
1426	917	187	74	104
1427	917	184	71	101
1428	917	184	71	101
1429	917	182	69	99
1430	917	182	69	99
1431	917	182	69	99
1432	917	182	67	96
1433	917	186	71	100
1434	917	190	73	102
1435	917	187	70	99
1436	917	183	68	97
1437	917	181	66	95
1438	917	180	70	97
1439	917	180	70	97
1440	917	180	70	99
1441	917	185	75	104
1442	917	183	73	102
1443	917	181	71	100
1444	917	180	70	97
1445	917	179	69	96
1446	917	181	68	96
1447	917	185	72	100
1448	917	185	72	100
1449	917	183	70	98
1450	917	180	67	95
1451	917	181	68	96
1452	917	183	70	98
1453	917	183	70	98
1454	917	185	72	100
1455	917	185	72	100
1456	917	182	72	101
1457	917	181	71	100
1458	917	181	71	100
1459	917	182	72	101
1460	917	181	71	100
1461	917	181	71	100
1462	917	183	73	102
1463	917	184	74	103
1464	917	182	73	102
1465	917	182	73	102
1466	917	180	72	98
1467	917	181	73	99
1468	917	181	73	99
1469	917	178	70	96
1470	917	179	69	98
1471	917	183	73	102
1472	917	183	73	100
1473	917	184	74	101
1474	917	183	73	102
1475	917	184	74	103
1476	917	184	74	103
1477	917	182	72	101
1478	917	182	73	102
1479	917	181	72	101
1480	917	181	72	101
1481	917	178	69	98
1482	917	178	68	95
1483	917	181	71	98
1484	917	181	71	98
1485	917	180	70	97
1486	917	180	72	98
1487	917	181	73	99
1488	917	181	72	101
1489	917	183	74	103
1490	917	181	74	104
1491	917	182	75	105
1492	917	179	71	103
1493	917	176	68	100
1494	917	175	68	98
1495	917	178	71	101
1496	917	182	75	103
1497	917	180	73	101
1498	917	182	75	103
1499	917	181	74	102
1500	917	181	74	102
1501	917	185	78	106
1502	917	182	75	101
1503	917	182	75	101
1504	917	182	75	101
1505	917	182	75	101
1506	917	182	75	103
1507	917	183	76	104
1508	917	183	74	103
1509	917	182	73	102
1510	917	184	76	102
1511	917	184	76	102
1512	917	183	75	101
1513	917	187	79	105
1514	917	188	81	109
1515	917	183	76	104
1516	917	182	75	103
1517	917	184	77	105
1518	917	183	76	104
1519	917	181	74	102
1520	917	179	72	100
1344	918	180	73	99
1345	918	187	79	105
1346	918	185	77	103
1347	918	187	77	104
1348	918	186	73	101
1349	918	183	70	98
1350	918	178	68	95
1351	918	177	67	94
1352	918	177	69	95
1353	918	179	71	97
1354	918	182	72	99
1355	918	180	70	97
1356	918	184	71	99
1357	918	186	73	101
1358	918	184	71	99
1359	918	180	67	95
1360	918	178	68	97
1361	918	180	70	99
1362	918	179	68	100
1363	918	179	68	100
1364	918	181	72	103
1365	918	184	75	106
1366	918	182	73	102
1367	918	178	69	98
1368	918	178	69	98
1369	918	178	69	98
1370	918	177	68	97
1371	918	179	70	99
1372	918	180	70	99
1373	918	180	70	99
1374	918	188	75	105
1375	918	187	74	104
1376	918	182	67	98
1377	918	177	62	93
1378	918	184	69	100
1379	918	185	70	101
1380	918	184	71	101
1381	918	184	71	101
1382	918	179	69	98
1383	918	182	72	101
1384	918	179	71	97
1385	918	179	71	97
1386	918	181	71	98
1387	918	188	78	105
1388	918	180	70	97
1389	918	177	67	94
1390	918	181	73	99
1391	918	181	73	99
1392	918	180	73	99
1393	918	181	74	100
1394	918	180	72	98
1395	918	180	70	97
1396	918	182	72	99
1397	918	184	71	99
1398	918	185	72	102
1399	918	179	66	96
1400	918	179	66	96
1401	918	185	72	102
1402	918	186	73	101
1403	918	184	71	99
1404	918	185	73	98
1405	918	185	73	98
1406	918	183	70	98
1407	918	185	72	100
1408	918	183	73	100
1409	918	182	72	99
1410	918	184	74	103
1411	918	184	74	103
1412	918	181	71	100
1413	918	183	73	102
