X	Y	Red	Green	Blue
828	757	168	88	141
829	757	169	89	142
830	757	164	87	141
831	757	164	87	141
832	757	163	87	136
833	757	163	87	136
834	757	165	88	140
835	757	166	89	141
836	757	167	90	144
837	757	165	88	142
838	757	162	85	137
839	757	163	86	138
840	757	166	88	138
841	757	164	86	136
842	757	160	80	131
843	757	166	86	137
844	757	164	86	138
845	757	164	86	138
846	757	163	86	138
847	757	166	89	141
848	757	165	88	142
849	757	167	90	144
850	757	170	93	145
851	757	167	90	142
852	757	166	88	140
853	757	166	88	140
854	757	166	87	142
855	757	166	87	142
856	757	167	88	143
857	757	168	89	144
858	757	170	92	144
859	757	169	91	143
860	757	167	90	142
861	757	164	87	139
862	757	162	85	139
863	757	162	85	139
864	757	164	87	143
865	757	164	87	143
866	757	165	88	142
867	757	167	90	144
868	757	167	88	143
869	757	169	90	145
870	757	166	88	140
871	757	163	85	137
872	757	162	84	136
873	757	166	88	140
874	757	167	91	140
875	757	167	91	140
876	757	165	87	137
877	757	163	85	135
878	757	165	87	137
879	757	167	89	139
880	757	165	88	140
881	757	166	89	141
882	757	169	93	142
883	757	166	88	138
884	757	164	86	136
885	757	170	90	141
886	757	171	92	140
887	757	170	91	139
888	757	169	90	138
889	757	168	89	137
890	757	167	91	140
891	757	169	93	142
892	757	166	90	137
893	757	164	88	135
894	757	159	83	132
895	757	164	88	137
896	757	165	92	138
897	757	163	90	136
898	757	164	88	137
899	757	165	89	138
900	757	168	90	142
901	757	168	90	142
902	757	166	88	138
903	757	166	88	138
904	757	166	88	138
905	757	166	88	138
906	757	164	87	139
907	757	165	88	140
828	758	169	91	143
829	758	169	91	143
830	758	166	89	143
831	758	165	88	142
832	758	164	86	136
833	758	164	86	136
834	758	164	86	138
835	758	166	88	140
836	758	169	92	146
837	758	169	92	146
838	758	164	87	139
839	758	163	86	138
840	758	166	88	138
841	758	166	88	138
842	758	167	87	140
843	758	167	87	140
844	758	164	86	138
845	758	164	86	138
846	758	167	90	144
847	758	161	84	138
848	758	159	80	135
849	758	163	84	139
850	758	166	86	139
851	758	166	86	139
852	758	167	87	138
853	758	166	86	137
854	758	165	85	138
855	758	169	89	142
856	758	167	88	143
857	758	168	89	144
858	758	170	93	145
859	758	170	93	145
860	758	167	90	142
861	758	165	88	140
862	758	165	88	142
863	758	160	83	137
864	758	164	87	141
865	758	164	87	141
866	758	165	86	141
867	758	166	87	142
868	758	164	85	140
869	758	167	88	143
870	758	165	87	139
871	758	165	87	139
872	758	166	89	141
873	758	165	88	140
874	758	165	88	140
875	758	166	89	141
876	758	166	88	140
877	758	164	86	138
878	758	165	85	138
879	758	166	86	139
880	758	164	87	139
881	758	166	89	141
882	758	169	93	142
883	758	165	89	138
884	758	165	87	139
885	758	169	91	143
886	758	169	90	138
887	758	170	91	139
888	758	170	92	140
889	758	169	91	139
890	758	165	89	138
891	758	166	90	139
892	758	166	93	139
893	758	161	87	136
894	758	156	80	129
895	758	160	83	135
896	758	164	90	139
897	758	163	89	138
898	758	164	87	139
899	758	166	89	141
900	758	170	92	144
901	758	167	89	141
902	758	165	87	137
903	758	166	88	138
904	758	170	92	142
905	758	169	91	141
906	758	167	90	142
907	758	166	89	141
828	759	168	90	142
829	759	170	92	144
830	759	174	97	151
831	759	170	91	146
832	759	166	88	138
833	759	165	85	138
834	759	164	86	138
835	759	166	87	142
836	759	169	92	146
